UUID,Fully specified name:en,Data class,Data type,Answers,Members
3cd9446e-26fe-102b-80cb-0017a47871b2,NUMBER OF WEEKS PREGNANT,Question,N/A,,
0b9ec1eb-49ca-48dc-9aa6-63366b2104b3,NUTRITION,Test,N/A,,
e773a478-875d-4665-a3af-2dfb82336044,Obstetrician,Misc,N/A,,
f50ea84e-26c9-402b-91f4-e4537eb9f5d3,Oral analgesia for perineal pain relief,Misc,N/A,,
59dfcb57-b663-4ecb-8fa6-ca0b7a23674b,Oral fluid,Misc,N/A,نہیں,
da0ed6e5-8017-44c2-a68f-23ea082b8dc4,Other,Finding,N/A,,
76f30070-c91f-4211-880c-024565b69d42,oxytocin,Drug,N/A,,
451b6015-c2f5-4142-87bb-98ec714568ec,P++/A++,Misc,N/A,,
9bd95df5-684b-4a9c-be19-1f30f104908a,Pain relief,Misc,N/A,نہیں,
2576c214-d10e-4330-ab3c-3df4d6bf466d,Parto_Amniotic fluid,Misc,Coded,,
6b713ffd-dd57-467f-96a6-b998607c13ce,Parto_Anterior,Misc,N/A,,
34ab9dab-f58c-409d-8649-6cc5c254470d,Parto_Assessment,Misc,N/A,,
26e9c2db-befd-4e2d-a901-07b0cee4cc8f,Parto_Bleeding and its causes,Misc,N/A,Retained Placenta;Lochia: Colour;Uterine atony,
0acac343-acde-4862-b8cf-7eebfdbc2490,Parto_Blood clotting disorder interventions,Misc,N/A,,
eaa3f2f6-22bb-4a58-82e4-5e3950f74cc8,Parto_Caput,Misc,N/A,Infirmier(ière),
88da05c7-d76c-49d1-9c20-55080d8db170,Parto_Cesarean birth,Misc,N/A,,
9fd6786b-6b83-4fa7-b6b4-ba5846a84937,parto_Companion,Misc,N/A,نہیں,
56e6bf34-c8a2-4a54-bd8a-43e1e9d1c78f,Parto_Complications,Misc,N/A,Other,
669638cb-ad30-4caa-bff8-6c28721129aa,parto_Conducted by,Misc,N/A,Obstetrician;Fecal incontinence?;Infirmier(ière);Other,
ef129b33-e1ed-43f2-9e47-b169a95f7c59,Parto_Descent,Misc,N/A,,
5bc1ae2b-5d58-4201-a1ec-5538321350c2,Parto_Diagnosis based on,Misc,N/A,,
78e11357-78fd-4d4d-9322-9c47709c8436,Parto_Early,Misc,N/A,,
d5180c5c-96a4-4640-9509-5e3926c5efe4,Parto_Initial,Misc,N/A,,
def3f08b-e55a-464d-8d1c-b4a389a37649,Parto_IV fluids,Misc,N/A,,
89bf85f5-72f1-4037-ac86-6e3ac730ef45,Parto_Medicine,Misc,N/A,,
3104238e-94f7-4d63-a59f-d2886bd7b15a,parto_Mode of childbirth,Misc,N/A,Parto_Cesarean birth;Parto_Spontaneous vaginal birth,
ca5f9645-f958-47ca-b488-079d4089cc3e,parto_plan,Misc,N/A,,
1f521426-241a-49f3-95c1-7fb0a2c43c97,Parto_Posterior,Misc,N/A,,
